Date,CAT,GE,HON,KO,PEP,PG
2010-01-04,39.290584564208984,53.6640625,25.577756881713867,17.557863235473633,38.33393478393555,38.417030334472656
2010-01-05,39.76032257080078,53.94194412231445,25.62845802307129,17.345470428466797,38.79715347290039,38.42959976196289
2010-01-06,39.8811149597168,53.6640625,25.62845802307129,17.339311599731445,38.4090576171875,38.24732208251953
2010-01-07,40.04216766357422,56.44276428222656,26.12290382385254,17.296222686767578,38.16492462158203,38.039913177490234
2010-01-08,40.49177551269531,57.658470153808594,26.699758529663086,16.976089477539062,38.039737701416016,37.98960494995117
2010-01-11,43.03509521484375,58.214229583740234,27.035701751708984,17.320838928222656,37.99592208862305,37.83877182006836
2010-01-12,41.76680374145508,58.24895095825195,26.731454849243164,17.50861167907715,38.527984619140625,38.272464752197266
2010-01-13,41.82719802856445,58.45734786987305,26.82653045654297,17.55478858947754,38.84096908569336,38.6684455871582
2010-01-14,41.59231185913086,58.00581359863281,26.985010147094727,17.585569381713867,39.3104362487793,38.70616149902344
2010-01-15,40.619380950927734,57.10273361206055,27.02303695678711,17.327001571655273,38.99119567871094,38.22846984863281
2010-01-19,41.166664123535156,57.45005416870117,27.162504196166992,17.367008209228516,39.01624298095703,38.79416275024414
2010-01-20,40.37615966796875,57.31113052368164,26.851892471313477,17.083818435668945,38.77836990356445,38.268699645996094
2010-01-21,38.41004943847656,55.6439094543457,25.818635940551758,16.735990524291992,38.14614486694336,37.88254928588867
2010-01-22,36.65341567993164,55.95650100708008,25.279823303222656,16.69597816467285,37.80186462402344,38.18008804321289
2010-01-25,37.25471496582031,56.85960006713867,25.49535369873047,16.72983741760254,37.70172119140625,38.38266372680664
2010-01-26,37.73441696166992,56.79008483886719,25.336877822875977,16.665189743041992,37.71424102783203,38.420658111572266
2010-01-27,36.10612869262695,56.61644744873047,25.520719528198242,16.77908706665039,37.739261627197266,38.496620178222656
2010-01-28,35.03861999511719,56.130157470703125,25.24179458618164,16.67750358581543,37.39500427246094,39.0473747253418
2010-01-29,35.29536819458008,55.85231018066406,24.49379539489746,16.699054718017578,37.31987380981445,38.965091705322266
2010-02-01,35.76830291748047,56.44276428222656,24.956541061401367,16.739078521728516,37.99592208862305,39.243629455566406
2010-02-02,36.180442810058594,58.52679443359375,25.05162239074707,16.94530487060547,38.27759552001953,39.819732666015625
2010-02-03,36.07234573364258,57.93634796142578,24.85511016845703,16.889902114868164,38.365234375,39.66145324707031
2010-02-04,34.727840423583984,55.71335983276367,23.916946411132812,16.446643829345703,37.33240509033203,38.8701286315918
2010-02-05,34.96430206298828,54.84498977661133,23.752126693725586,16.34199333190918,37.25102233886719,38.80680465698242
2010-02-08,34.308937072753906,54.1850471496582,23.371788024902344,16.20654296875,36.90674591064453,38.62324142456055
